iter	Logloss
0	0.6868481246
1	0.6806179911
2	0.6746195725
3	0.6687148173
4	0.6629387443
5	0.6571811172
6	0.6515503101
7	0.6460792523
8	0.6406699745
9	0.6353604175
10	0.6301092073
11	0.6249605786
12	0.6198994545
13	0.6147925711
14	0.6098762994
15	0.6051361734
16	0.6004339663
17	0.5955186159
18	0.5905797788
19	0.5857986714
20	0.581260319
21	0.5769479871
22	0.5727726434
23	0.5685421363
24	0.564335508
25	0.5602936542
26	0.5562876807
27	0.551976986
28	0.5476111437
29	0.543834158
30	0.540030711
31	0.5364269578
32	0.5323170918
33	0.5286463124
34	0.5248683456
35	0.5211158057
36	0.5177342556
37	0.5139475764
38	0.5106404094
39	0.5073789583
40	0.5042500444
41	0.5011083913
42	0.4979772566
43	0.4949209705
44	0.4918844687
45	0.4886537373
46	0.4856806456
47	0.4829254766
48	0.4800314304
49	0.4772099973
50	0.4744469259
51	0.4716770855
52	0.4689815607
53	0.4663215384
54	0.4636922348
55	0.4610678631
56	0.4584802123
57	0.455542765
58	0.453044788
59	0.4505099719
60	0.447893366
61	0.4450491284
62	0.4427092146
63	0.4403678659
64	0.4380597909
65	0.4357281392
66	0.4334828211
67	0.4309876188
68	0.4284071562
69	0.4261527237
70	0.4241153056
71	0.4220090217
72	0.4199594623
73	0.4174654786
74	0.4151230504
75	0.4130912862
76	0.4109712498
77	0.4089825263
78	0.4070628656
79	0.4046390593
80	0.4024469132
81	0.4002114676
82	0.3982916125
83	0.3965526964
84	0.3948832123
85	0.3930517607
86	0.3913510833
87	0.3895507988
88	0.3879447871
89	0.3861494715
90	0.384260246
91	0.3825888512
92	0.380684251
93	0.3787249788
94	0.3766588584
95	0.3751639744
96	0.3732643211
97	0.3714651381
98	0.3699116765
99	0.3683526034
