iter	Passed	Remaining
0	12	12937
1	22	10980
2	30	10237
3	40	10022
4	48	9626
5	56	9390
6	64	9153
7	71	8919
8	79	8779
9	88	8716
10	96	8687
11	104	8604
12	112	8545
13	120	8497
14	128	8442
15	136	8387
16	144	8350
17	152	8308
18	160	8262
19	167	8213
20	175	8192
21	183	8149
22	191	8139
23	198	8090
24	207	8087
25	215	8061
26	224	8077
27	232	8065
28	240	8063
29	249	8063
30	257	8037
31	264	8001
32	271	7966
33	279	7953
34	288	7945
35	296	7938
36	305	7943
37	313	7946
38	323	7962
39	331	7956
40	340	7957
41	348	7945
42	356	7943
43	364	7912
44	372	7896
45	379	7873
46	387	7859
47	395	7841
48	403	7840
49	411	7818
50	419	7813
51	427	7789
52	435	7784
53	443	7774
54	451	7765
55	459	7753
56	468	7743
57	475	7729
58	484	7722
59	492	7713
60	501	7715
61	509	7713
62	518	7714
63	527	7709
64	536	7716
65	544	7706
66	553	7705
67	560	7677
68	567	7661
69	575	7642
70	583	7629
71	590	7611
72	598	7603
73	606	7584
74	615	7585
75	622	7564
76	630	7555
77	638	7541
78	646	7535
79	654	7521
80	662	7511
81	669	7495
82	677	7483
83	685	7471
84	693	7462
85	701	7453
86	709	7443
87	717	7435
88	725	7431
89	734	7427
90	743	7422
91	751	7419
92	762	7439
93	773	7451
94	780	7434
95	788	7423
96	795	7407
97	803	7396
98	811	7381
99	819	7373
100	827	7363
101	835	7351
102	849	7394
103	860	7414
104	871	7428
105	880	7427
106	889	7423
107	897	7410
108	905	7405
109	913	7393
110	921	7383
111	929	7371
112	937	7361
113	945	7349
114	953	7336
115	960	7321
116	968	7312
117	976	7298
118	985	7293
119	992	7280
120	1000	7270
121	1008	7258
122	1017	7254
123	1025	7241
124	1033	7231
125	1040	7217
126	1048	7210
127	1057	7201
128	1065	7194
129	1073	7185
130	1081	7176
131	1089	7163
132	1097	7153
133	1105	7141
134	1113	7132
135	1120	7119
136	1128	7109
137	1136	7099
138	1144	7086
139	1151	7073
140	1158	7060
141	1167	7052
142	1174	7041
143	1182	7031
144	1190	7020
145	1198	7011
146	1206	6998
147	1214	6992
148	1222	6980
149	1230	6974
150	1237	6959
151	1246	6953
152	1253	6940
153	1261	6932
154	1269	6923
155	1278	6916
156	1286	6908
157	1295	6903
158	1303	6893
159	1311	6887
160	1320	6879
161	1328	6874
162	1336	6864
163	1344	6853
164	1352	6842
165	1360	6835
166	1368	6826
167	1377	6820
168	1385	6811
169	1393	6804
170	1400	6791
171	1408	6782
172	1416	6770
173	1424	6761
174	1432	6752
175	1440	6743
176	1447	6730
177	1455	6720
178	1462	6707
179	1470	6697
180	1478	6691
181	1486	6681
182	1494	6672
183	1501	6660
184	1509	6650
185	1516	6637
186	1525	6631
187	1532	6619
188	1539	6607
189	1547	6596
190	1555	6588
191	1563	6578
192	1571	6569
193	1578	6560
194	1587	6551
195	1594	6540
196	1602	6531
197	1609	6520
198	1617	6510
199	1624	6498
200	1632	6488
201	1639	6478
202	1647	6467
203	1654	6457
204	1662	6446
205	1670	6440
206	1678	6430
207	1686	6422
208	1700	6436
209	1711	6439
210	1722	6440
211	1731	6436
212	1740	6431
213	1749	6424
214	1757	6418
215	1766	6413
216	1776	6411
217	1786	6406
218	1793	6396
219	1801	6388
220	1809	6377
221	1817	6369
222	1824	6358
223	1832	6349
224	1840	6340
225	1848	6331
226	1855	6319
227	1863	6308
228	1870	6298
229	1878	6288
230	1886	6279
231	1893	6269
232	1901	6260
233	1909	6250
234	1917	6241
235	1924	6229
236	1932	6221
237	1939	6210
238	1947	6202
239	1955	6191
240	1963	6183
241	1970	6172
242	1978	6162
243	1986	6153
244	1994	6145
245	2004	6143
246	2011	6133
247	2018	6120
248	2024	6106
249	2031	6095
250	2039	6085
251	2046	6074
252	2054	6064
253	2061	6054
254	2070	6047
255	2077	6037
256	2086	6030
257	2094	6022
258	2102	6014
259	2109	6005
260	2118	5997
261	2126	5988
262	2134	5980
263	2142	5971
264	2150	5963
265	2157	5954
266	2165	5945
267	2173	5935
268	2181	5927
269	2189	5918
270	2196	5909
271	2204	5901
272	2212	5891
273	2220	5882
274	2228	5874
275	2236	5865
276	2243	5856
277	2250	5846
278	2258	5837
279	2267	5829
280	2274	5819
281	2283	5814
282	2291	5804
283	2299	5796
284	2306	5787
285	2315	5779
286	2323	5771
287	2331	5763
288	2339	5755
289	2347	5747
290	2355	5739
291	2363	5731
292	2371	5722
293	2380	5715
294	2388	5707
295	2395	5698
296	2403	5689
297	2411	5680
298	2419	5671
299	2427	5663
300	2434	5653
301	2442	5645
302	2449	5634
303	2456	5624
304	2464	5614
305	2471	5605
306	2479	5596
307	2486	5587
308	2495	5580
309	2504	5573
310	2512	5566
311	2525	5569
312	2537	5570
313	2549	5569
314	2558	5563
315	2566	5556
316	2577	5552
