iter	Passed	Remaining
0	1	102
1	1	94
2	2	88
3	3	82
4	4	77
5	4	76
6	5	73
7	6	71
8	7	73
9	8	74
10	9	74
11	10	73
12	10	71
13	11	70
14	12	69
15	12	67
16	13	66
17	14	67
18	15	66
19	16	64
20	16	63
21	17	62
22	18	61
23	18	60
24	19	58
25	20	57
26	20	56
27	21	55
28	22	55
29	23	54
30	24	54
31	25	54
32	26	53
33	27	52
34	27	51
35	28	51
36	29	50
37	30	49
38	31	48
39	31	47
40	32	47
41	33	46
42	34	45
43	35	44
44	36	44
45	37	43
46	38	42
47	39	42
48	39	41
49	40	40
50	41	40
51	42	39
52	43	38
53	44	37
54	45	37
55	46	36
56	47	35
57	47	34
58	48	33
59	49	32
60	50	31
61	50	31
62	51	30
63	52	29
64	53	28
65	54	27
66	54	27
67	55	26
68	56	25
69	57	24
70	58	23
71	59	22
72	60	22
73	60	21
74	61	20
75	62	19
76	63	18
77	63	18
78	64	17
79	65	16
80	66	15
81	66	14
82	67	13
83	68	13
84	69	12
85	69	11
86	70	10
87	71	9
88	72	8
89	72	8
90	73	7
91	74	6
92	75	5
93	75	4
94	76	4
95	77	3
96	78	2
97	79	1
98	79	0
99	80	0
